調味料を入れておいたり,調味料を入れる
０月に生まれた娘の銀行印用に購入,娘の銀行印として使う
フルーツティーを作るのに購入しました,フルーツティーを作る
新しいトートの革ハンドルを防護するために買いました,トートの革ハンドルを防護する
自分の心の問題点をクリアにするために購入しました,自分の心の問題点をクリアにする
ゴルフの時に流れてくる汗止め用に購入しました,ゴルフの時に汗を止める
思っていた以上に汗が流れてこないです,ゴルフの時に汗を止める
布製のスーツケースを守るために購入,布製のスーツケースを守る
結果スーツケースには傷一つなかった,布製のスーツケースを守る
作業時にカッターを入れるのに使用しています,作業時にカッターを入れる
子どもが小さいうちはリビングで勉強させていたのですが成長したので一人部屋に置く用に購入しました,子ども部屋に置く
カルシウム不足を補うために購入しました,カルシウム不足を補う
習字を習っているこどもの手洗い用に購入しました,こどもが手を洗う
家族に頼まれて引越しの挨拶用に購入,引越しの挨拶で配る
キャンプで星を撮影するために購入しました,キャンプに行ったときに星を撮影する
子供とマイクラをやるのに購入しました,子どもと一緒にマイクラをする
私は食器を拭くのに使っています,食器を拭く
家にいるゴールデンハムスター用に買いました組み立ても簡単で入り口も広く餌皿やトイレや滑車を出し入れしやすいです,ゴールデンハムスターを飼育する
ｙａｍａｈａのｂ０のピアノに被せる為に購入,ｙａｍａｈａのｂ０のピアノに被せる
ジャンガリアンハムスターを入れるために購入,ジャンガリアンハムスターを飼育する
ヘラクレスオオカブトの飼育に転倒防止用に購入してます,ヘラクレスオオカブトの飼育容器の転倒を防止する
新居のこども部屋につける為に購入,こども部屋につける
正月用の煮豆を作るために購入,正月用の煮豆を作る
畳の部屋に敷くために購入,畳の部屋に敷く
ヘアアクセサリーを作るために購入しました,ヘアアクセサリーを作る
お風呂に重曹とクエン酸を混ぜて入れるため,液体を混ぜる
紫蘇ジュースも作りました,ジュースを作る
アクリル水槽の保温性を高める,保湿性を高める
フリマで商品を包む,商品を包む
ウルトラブックのデータ保存領域を追加するため,データ保存領域を増やす
座っているだけで姿勢を気にすることができ,姿勢を正す
夜はエクササイズでも使用できる,軽い運動をする
ホールの一番後ろからステージをとるために購入,撮影する
ノートｐｃを持ち運ぶために購入,ノートｐｃを持ち運ぶ
このお布団にしてから柔らかくて気持ち良さそうに寝ています,快適に眠る
ペットボトルで作った風車夏休みの工作の色を塗るのに使いました,色を塗る
男の子でよだれがすごいので洗い替え用に購入,よだれを防ぐ
赤ちゃんをあやす時用に買ったので,赤ちゃんをあやす
お味噌を作るため,味噌を作る
球根を植えるため,球根を植える
子持ちママが子どもの荷物を入れるために使うには少し小さめ,荷物を入れる
プラモデルを収納するのに購入,プラモデルを収納する
ベビーカーを出し入れするのに便利かと思い購入,ベビーカーを出し入れする
ジーンズを洗うのに使ってます,ジーンズを洗う
子供のレインポンチョを作るために購入しました,レインポンチョを作る
気軽に掃除機をかける事が出来そう,掃除する
夫の仕事道具に貼るために買いました,道具に貼る
お弁当を作るのに使いやすいフライパン,弁当を作る
夏休みに入っても勉強しやすいように,勉強する
夜勤があるので昼寝るのにとても良い,昼間に眠る
子供のアパート引っ越しでテレビの録画用に購入,テレビを録画する
重箱を広げるのに便利,弁当箱を置く
